Name,Price,Comment,Shop,Type
LOREAL欧莱雅纷泽滋润唇膏C411,￥107.00,6.7万+条评价,欧莱雅京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
京东超市BOB口红套装礼盒3.4g*6持久保湿口红不掉色非小样 组合色,￥59.00,8800+条评价,BOB官方旗舰店,"
京东物流
秒杀
免邮
券159-20满499-100 险"
迪奥（Dior）烈艳蓝金唇膏775 3.5g（口红 妆感舒悦 显色持久 枚红色）,￥300.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满299-30 "
圣罗兰（YSL）纯口红74#,￥299.00,7.6万+条评价,,"
自营
闪购
券500-50满499-100 "
魅可（M.A.C） mac口红套装礼盒保湿持久不易掉色不易沾杯显色丰润唇膏3g Chili铁锈红/小辣椒,￥159.00,3400+条评价,弘美化妆品专营店,"
新品
险"
全球购【京东仓发货】【到手价39元】露华浓（Revlon）丽彩炫亮黑管唇膏 口红持久保湿滋润唇彩 不掉色 225#玫瑰红酒,￥59.00,4.2万+条评价,Revlon海外旗舰店,"
京东物流
免邮
满51-20 "
纪梵希（Givenchy）香榭高定天鹅绒唇膏315(又名：高级定制系列唇彩 小羊皮口红）（覆盆子红 姨妈色）,￥339.00,5.7万+条评价,纪梵希（Givenchy）京东自营专区,"
自营
闪购
券500-50满499-150 "
京东超市凡士林(Vaseline)润唇膏 保湿滋润护唇膏 玫瑰花蕾味 17g 保湿滋润唇膜 口红打底,￥32.00,1.4万+条评价,联合利华京东自营旗舰店,"
自营
闪购
"
美宝莲（MAYBELLINE）纵情耀星钻系列唇膏 SRD45 冰钻樱桃色 小灯管口红 3g,￥79.00,7700+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满499-150 "
全球购魅可（MAC)经典唇膏  子弹头口红3g Lady Bug  番茄红,￥155.00,14万+条评价,MAC魅可海外自营专区,"
自营
闪购
满399-50 "
MAC魅可柔感哑光唇膏06 3g（口红/唇彩/润唇膏）,￥168.00,2万+条评价,MAC魅可京东自营专区,"
自营
券1000-100满499-100 "
圣罗兰（YSL）莹亮纯魅唇膏46#,￥299.00,5.9万+条评价,,"
自营
闪购
券500-50满499-150 "
汤姆福特TOM FORD 烈焰幻魅唇膏15#,￥429.00,2.6万+条评价,汤姆福特（TOM FORD）京东自营专区,"
自营
满499-150 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 152# 活泼橘红色,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
【工厂直供】草莓变色润唇膏3.8g 女士滋润保湿变色唇膏防干裂学生护唇膏 口红打底,￥29.90,800+条评价,韩水仙化妆品拼购店,"
2件8折 险"
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 169# 绛红色,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
曼秀雷敦（Mentholatum）小小润唇膏小小柠檬3.5g（唇彩 补水 保湿）,￥16.90,5200+条评价,曼秀雷敦自营官方旗舰店,"
自营
"
圣罗兰（YSL）莹亮纯魅唇膏4#,￥310.00,5.9万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
券500-50满499-150 "
魅可（M.A.C）哑光唇膏04#（RUBY WOO）3g,￥169.00,1万+条评价,MAC魅可京东自营专区,"
自营
券1000-100满499-100 "
迪奥（Dior）烈艳蓝金唇膏888 3.5g(口红 妆感舒悦 显色持久 哑光中国红),￥300.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
券1000-100满299-30 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒系列#56 生命之泉,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒系列63# 复古酒红,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
卡姿兰（Carslan）金致胶原美芯唇膏（Ⅱ）上市分享装 7#珀斯莓红(口红 滋润 持久 显色),￥119.00,4.5万+条评价,卡姿兰京东自营官方旗舰店,"
自营
券300-50每满299-150赠 "
纪梵希（Givenchy）高定香榭天鹅绒唇膏301(又名：高级定制系列唇膏 小羊皮口红）（新老包装随机）3.4g,￥344.00,5.7万+条评价,纪梵希（Givenchy）京东自营专区,"
自营
闪购
券500-50满499-150 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒系列62# 奶茶色（爆款）,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
欧莱雅（LOREAL）纷泽溢彩釉光唇膏固体唇釉 温柔豆沙红 911 3g,￥132.00,3万+条评价,欧莱雅京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
汤姆福特（TOM FORD） Tom Ford  汤姆福特tf口红16号15号80号唇膏 TF黑管16号 斯嘉丽正红/古典红,￥303.00,4400+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
京东超市凡士林(Vaseline)润唇膏 经典修护 焦糖布丁味 7g 保湿滋润唇膜 口红打底,￥24.80,7.5万+条评价,联合利华京东自营旗舰店,"
自营
"
